Region,Area (planimetric) [km2],Area (ellipsoidal) [km2],Share of Total Area [%],Commercial HD [TWh],Share of Commercial HD [%],Average of Commercial HD [MWh/ha],Average of heated area of Commercial HD [MWh/ha],Area of heat demand [km2],Share of heated heat demand area [%]
Interreg NWE,788012,842823.0,100.0,552.0,100.0,6.5,569.6,77514.0,9.2
DEA,31807,34106.0,4.0,82.5,14.9,24.2,107.4,7683.2,22.5
DE1,33587,35961.0,4.3,73.6,13.3,20.5,99.5,7399.9,20.6
DE7,19678,21102.0,2.5,42.5,7.7,20.1,109.0,3896.0,18.5
FR1,11268,12068.0,1.4,37.2,6.7,30.8,247.4,1503.0,12.5
DEB,18518,19853.0,2.4,31.3,5.7,15.8,83.7,3735.5,18.8
CH0,38663,41263.0,4.9,26.9,4.9,6.5,96.3,2788.5,6.8
DEC,2400,2573.0,0.3,23.1,4.2,89.9,1155.8,200.0,7.8
BE2,12678,13597.0,1.6,19.5,3.5,14.3,1324.7,146.9,1.1
UKJ,17816,19105.0,2.3,16.9,3.1,8.9,38.5,4395.6,23.0
DE2,30810,33012.0,3.9,13.4,2.4,4.1,25.1,5348.7,16.2
FRF,53904,57725.0,6.8,13.2,2.4,2.3,75.8,1747.9,3.0
FR-HDF,29779,31927.0,3.8,12.6,2.3,4.0,78.9,1602.1,5.0
UKI,1470,1577.0,0.2,11.8,2.1,74.9,96.3,1227.3,77.8
UKD,13227,14139.0,1.7,11.5,2.1,8.2,39.2,2945.4,20.8
NL3,9351,10023.0,1.2,11.5,2.1,11.5,147.3,782.8,7.8
UKH,17869,19151.0,2.3,10.9,2.0,5.7,35.3,3089.0,16.1
IE0,65150,69738.0,8.3,10.4,1.9,1.5,22.7,4569.1,6.6
UKK,22278,23891.0,2.8,10.4,1.9,4.3,32.9,3149.9,13.2
UKG,12144,13013.0,1.5,10.3,1.9,7.9,38.5,2665.7,20.5
UKE,14431,15429.0,1.8,9.7,1.8,6.3,44.3,2182.4,14.1
FR-PDL,30248,32329.0,3.8,8.0,1.4,2.5,64.2,1242.9,3.8
UKF,14604,15641.0,1.9,7.9,1.4,5.1,35.4,2246.0,14.4
FRC,44977,48048.0,5.7,7.5,1.4,1.6,66.1,1138.9,2.4
BE1,151,162.0,0.0,6.9,1.2,423.5,513.7,133.5,82.4
FRD,28055,30060.0,3.6,6.4,1.2,2.1,62.1,1031.9,3.4
FR-BRE,25558,27352.0,3.2,5.7,1.0,2.1,51.0,1121.0,4.1
NE4,6801,7293.0,0.9,5.7,1.0,7.8,99.9,566.4,7.8
FRB,36977,39520.0,4.7,5.0,0.9,1.3,54.1,928.9,2.4
BE3,15765,16905.0,2.0,4.8,0.9,2.8,11.8,4034.4,23.9
NL2,10232,10966.0,1.3,4.6,0.8,4.2,66.7,687.9,6.3
UKC,8069,8606.0,1.0,4.5,0.8,5.2,40.0,1116.0,13.0
UKN,13232,14128.0,1.7,3.0,0.5,2.1,17.6,1714.7,12.1
LU0,2421,2596.0,0.3,2.8,0.5,10.6,56.3,490.2,18.9
NL1,442,474.0,0.1,0.0,0.0,0.4,76.6,2.3,0.5
UKM,74237,78684.0,9.3,0.0,0.0,0.0,11.9,0.1,0.0
UKL,19415,20806.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
