Region,Region_Name,Area (planimetric) [km2],Area (ellipsoidal) [km2],Share of Total Area [%],Residential HD [TWh],Share of Residential HD [%],Average of Residential HD [MWh/ha],Average of heated area of Residential HD [MWh/ha],Area of heat demand [km2],Share of heated heat demand area [%]
Interreg NWE,Interreg NWE,788012,842823.0,100.0,1110.1,100.0,13.2,90.7,122364.0,14.5
DEA,Nordrhein-Westfalen,31807,34106.0,4.0,136.1,12.3,39.9,138.4,9837.6,28.8
DE2,Bayern,30810,33012.0,3.9,64.5,5.8,19.5,120.5,5348.3,16.2
DE1,Baden-Württemberg,33587,35961.0,4.3,55.1,5.0,15.3,125.4,4393.6,12.2
FR1,Ile-de-France,11268,12068.0,1.4,54.9,4.9,45.5,190.1,2887.5,23.9
BE2,Vlaams Gewest,12678,13597.0,1.6,53.0,4.8,39.0,153.7,3450.6,25.4
CH0,Schweiz/Suisse/Svizzera,38663,41263.0,4.9,47.3,4.3,11.5,130.1,3636.8,8.8
UKJ,South East (England),17816,19105.0,2.3,45.3,4.1,23.7,103.1,4395.6,23.0
DE7,Hessen,19678,21102.0,2.5,42.5,3.8,20.1,109.0,3895.9,18.5
FRF,Grand Est,53904,57725.0,6.8,42.0,3.8,7.3,71.2,5890.8,10.2
UKI,London,1470,1577.0,0.2,40.9,3.7,259.2,333.0,1227.3,77.8
UKD,North West (England),13227,14139.0,1.7,40.8,3.7,28.8,138.5,2945.4,20.8
FR-HDF,Hauts-de-France,29779,31927.0,3.8,38.3,3.4,12.0,67.5,5670.3,17.8
FRD,Normandie,28055,30060.0,3.6,37.7,3.4,12.5,50.9,7394.7,24.6
FR-PDL,Pays de la Loire,30248,32329.0,3.8,33.5,3.0,10.4,44.5,7530.5,23.3
UKH,East of England,17869,19151.0,2.3,31.6,2.9,16.5,102.5,3089.0,16.1
UKG,West Midlands (England),12144,13013.0,1.5,31.5,2.8,24.2,118.0,2665.7,20.5
DEB,Rheinland-Pfalz,18518,19853.0,2.4,31.3,2.8,15.8,83.7,3735.7,18.8
UKE,Yorkshire and the Humber,14431,15429.0,1.8,30.5,2.7,19.8,139.8,2182.4,14.1
UKK,South West (England),22278,23891.0,2.8,29.4,2.6,12.3,93.3,3149.9,13.2
UKF,East Midlands (England),14604,15641.0,1.9,26.0,2.3,16.6,115.9,2246.0,14.4
NL3,West-Nederland,9351,10023.0,1.2,25.6,2.3,25.6,158.6,1616.4,16.1
IE0,Ireland,65150,69738.0,8.3,22.1,2.0,3.2,48.3,4569.1,6.6
FR-BRE,Bretagne,25558,27352.0,3.2,21.3,1.9,7.8,25.6,8301.6,30.4
FRC,Bourgogne-Franche-Comté,44977,48048.0,5.7,20.9,1.9,4.4,35.2,5947.0,12.4
FRB,Centre ? Val de Loire,36977,39520.0,4.7,18.2,1.6,4.6,31.7,5748.8,14.5
UKC,North East (England),8069,8606.0,1.0,16.0,1.4,18.6,143.3,1116.0,13.0
BE3,Région wallonne,15765,16905.0,2.0,14.4,1.3,8.5,35.5,4056.7,24.0
NL4,Zuid-Nederland,6801,7293.0,0.9,13.9,1.3,19.1,114.4,1218.5,16.7
NL2,Oost-Nederland,10232,10966.0,1.3,12.6,1.1,11.5,89.4,1412.3,12.9
DEC,Saarland,2400,2573.0,0.3,10.9,1.0,42.5,237.0,462.0,18.0
UKN,Northern Ireland,13232,14128.0,1.7,9.4,0.8,6.6,54.6,1714.7,12.1
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,151,162.0,0.0,7.9,0.7,485.2,588.2,133.6,82.5
LU0,Luxembourg,2421,2596.0,0.3,4.8,0.4,18.4,97.5,490.2,18.9
NL1,Noord-Nederland,442,474.0,0.1,0.0,0.0,0.5,70.1,3.1,0.7
UKM,Scotland,74237,78684.0,9.3,0.0,0.0,0.0,35.8,0.1,0.0
UKL,Wales,19415,20806.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
