Region,Region_Name,Area (planimetric) [km2],Area (ellipsoidal) [km2],Share of Total Area [%],Combined/Total HD [TWh],Share of Total HD [%],Average of Total HD [MWh/ha],Average of heated area of Total HD [MWh/ha],Area of heat demand [km2],Share of heated heat demand area [%]
Interreg NWE,Interreg NWE,788012,842823.0,100.0,1727.2,100.0,20.5,127.4,135542.0,16.1
DEA,Nordrhein-Westfalen,31807,34106.0,4.0,218.6,12.7,64.1,191.2,11434.4,33.5
DE1,Baden-Württemberg,33587,35961.0,4.3,128.7,7.5,35.8,168.6,7636.0,21.2
FR1,Ile-de-France,11268,12068.0,1.4,92.1,5.3,76.3,299.2,3077.4,25.5
DE7,Hessen,19678,21102.0,2.5,84.9,4.9,40.2,218.0,3896.1,18.5
DE2,Bayern,30810,33012.0,3.9,77.9,4.5,23.6,145.6,5348.8,16.2
CH0,Schweiz/Suisse/Svizzera,38663,41263.0,4.9,74.2,4.3,18.0,197.8,3749.5,9.1
BE2,Vlaams Gewest,12678,13597.0,1.6,72.5,4.2,53.3,207.7,3490.3,25.7
DEB,Rheinland-Pfalz,18518,19853.0,2.4,62.5,3.6,31.5,167.4,3735.8,18.8
UKJ,South East (England),17816,19105.0,2.3,62.3,3.6,32.6,141.6,4395.6,23.0
FRF,Grand Est,53904,57725.0,6.8,55.2,3.2,9.6,89.7,6152.2,10.7
UKI,London,1470,1577.0,0.2,52.7,3.1,334.1,429.3,1227.3,77.8
UKD,North West (England),13227,14139.0,1.7,52.3,3.0,37.0,177.6,2945.4,20.8
FR-HDF,Hauts-de-France,29779,31927.0,3.8,50.9,2.9,15.9,86.6,5881.5,18.4
FRD,Normandie,28055,30060.0,3.6,44.1,2.6,14.7,58.3,7560.4,25.2
UKH,East of England,17869,19151.0,2.3,42.6,2.5,22.2,137.8,3089.0,16.1
UKG,West Midlands (England),12144,13013.0,1.5,41.7,2.4,32.1,156.5,2665.7,20.5
FR-PDL,Pays de la Loire,30248,32329.0,3.8,41.5,2.4,12.8,53.4,7761.3,24.0
UKM,Scotland,74237,78684.0,9.3,40.7,2.4,5.2,110.7,3681.6,4.7
UKE,Yorkshire and the Humber,14431,15429.0,1.8,40.2,2.3,26.0,184.1,2182.4,14.1
UKK,South West (England),22278,23891.0,2.8,39.7,2.3,16.6,126.2,3149.9,13.2
NL3,West-Nederland,9351,10023.0,1.2,37.2,2.2,37.1,184.8,2011.2,20.1
DEC,Saarland,2400,2573.0,0.3,34.1,2.0,132.4,605.4,562.8,21.9
UKF,East Midlands (England),14604,15641.0,1.9,34.0,2.0,21.7,151.3,2246.0,14.4
IE0,Ireland,65150,69738.0,8.3,32.5,1.9,4.7,71.2,4572.7,6.6
FRC,Bourgogne-Franche-Comté,44977,48048.0,5.7,28.5,1.6,5.9,46.5,6122.7,12.7
FR-BRE,Bretagne,25558,27352.0,3.2,27.0,1.6,9.9,31.8,8474.5,31.0
UKL,Wales,19415,20806.0,2.5,24.3,1.4,11.7,135.2,1797.4,8.6
FRB,Centre ? Val de Loire,36977,39520.0,4.7,23.3,1.3,5.9,39.4,5904.6,14.9
UKC,North East (England),8069,8606.0,1.0,20.4,1.2,23.8,183.2,1116.0,13.0
NE4,Zuid-Nederland,6801,7293.0,0.9,19.6,1.1,26.9,130.8,1498.4,20.5
BE3,Région wallonne,15765,16905.0,2.0,19.2,1.1,11.4,47.3,4056.8,24.0
NL2,Oost-Nederland,10232,10966.0,1.3,17.2,1.0,15.7,97.0,1775.1,16.2
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,151,162.0,0.0,14.7,0.9,908.6,1101.5,133.6,82.5
UKN,Northern Ireland,13232,14128.0,1.7,12.4,0.7,8.8,72.2,1714.7,12.1
LU0,Luxembourg,2421,2596.0,0.3,7.5,0.4,29.0,153.8,490.3,18.9
NL1,Noord-Nederland,442,474.0,0.1,0.0,0.0,0.8,85.0,4.7,1.0
